store,store_id,app_name,app_category,installs,rating_count,developer_id,developer_name,developer_domain_url,relationship,developer_domain_crawled_at,store_url
Android,abandoned.city.survival,Survival City Builder,game_simulation,7066725.0,48457.0,8232174611457920989,CASUAL AZUR GAMES,aigames.ae,RESELLER,2025-01-25 00:02:15.390210,https://play.google.com/store/apps/details?id=abandoned.city.survival
Android,abandoned.city.survival,Survival City Builder,game_simulation,7066725.0,48457.0,8232174611457920989,CASUAL AZUR GAMES,aigames.ae,RESELLER,2025-01-25 00:02:15.390210,https://play.google.com/store/apps/details?id=abandoned.city.survival
Android,adult.coloring.games.happy.art.color,My Coloring Book,game_puzzle,5974715.0,10380.0,9080418954315860537,GameLord 3D,funyeahstudio.com,RESELLER,2025-01-23 13:36:28.557059,https://play.google.com/store/apps/details?id=adult.coloring.games.happy.art.color
Android,adult.relax.jigsaw.hd.puzzle.game,Jigsaw Puzzle: Daily Art Game,game_puzzle,538838.0,2227.0,4810488365344915641,Pleasure City,tggamesstudio.com,RESELLER,2025-01-23 13:36:35.958768,https://play.google.com/store/apps/details?id=adult.relax.jigsaw.hd.puzzle.game
Android,adult.relax.jigsaw.hd.puzzle.game,Jigsaw Puzzle: Daily Art Game,game_puzzle,538838.0,2227.0,4810488365344915641,Pleasure City,tggamesstudio.com,RESELLER,2025-01-23 13:36:35.958768,https://play.google.com/store/apps/details?id=adult.relax.jigsaw.hd.puzzle.game
Android,adventure.io.horror.beat,Survivor Base: Zombie City 3D,game_action,4686.0,44.0,6812510223927925130,MAD PIXEL GAMES LTD,madpixel.dev,RESELLER,2025-01-24 07:13:14.825676,https://play.google.com/store/apps/details?id=adventure.io.horror.beat
Android,ai.chatbot.ask.chat.deep.seek.assistant.search.free,AI Seek: DeepSeek R1 & V3,productivity,13596.0,0.0,8628441344302043961,Guru AI Lab,seek.thebetter.ai,RESELLER,2025-01-28 04:25:06.326551,https://play.google.com/store/apps/details?id=ai.chatbot.ask.chat.deep.seek.assistant.search.free
Android,ai.generated.art.photo,Artist AI Art Photo Generator,art_and_design,1902917.0,38591.0,8528874717601581633,LeoStudio Global Ltd.,leostudio.global,RESELLER,2025-01-22 01:32:09.834354,https://play.google.com/store/apps/details?id=ai.generated.art.photo
Android,ai.image.playground.generator.free.creator.picture.photo,Image Playground - ImagineFlow,art_and_design,1301.0,0.0,8628441344302043961,Guru AI Lab,image.thebetter.ai,RESELLER,2025-01-27 11:15:41.268848,https://play.google.com/store/apps/details?id=ai.image.playground.generator.free.creator.picture.photo
Android,ai.photo.enhancer.ig.tiktok.editor.remini.pixelup.hd.free,"AI Hug & Photo Enhancer, Evoke",photo_and_video,1528289.0,20629.0,8628441344302043961,Guru AI Lab,photo.thebetter.ai,RESELLER,2025-01-22 02:03:25.337073,https://play.google.com/store/apps/details?id=ai.photo.enhancer.ig.tiktok.editor.remini.pixelup.hd.free
Android,ai.photo.enhancer.retake.app.free.face.editor,AI Photo Retake - FaceAura,photo_and_video,7290.0,69.0,8628441344302043961,Guru AI Lab,face.thebetter.ai,RESELLER,2025-01-19 00:13:01.258635,https://play.google.com/store/apps/details?id=ai.photo.enhancer.retake.app.free.face.editor
Android,ai.photo.generator.free.image.editor.face.swap.avatar.creator,AI Photo Generator: myFace App,photo_and_video,9268.0,0.0,6873380610601889920,"Appgeneration - Radio, Podcasts, Games",appgeneration.com,RESELLER,2025-01-24 08:45:14.613758,https://play.google.com/store/apps/details?id=ai.photo.generator.free.image.editor.face.swap.avatar.creator
Android,ai.socialapps.speakmaster,PolyBuzz:formerly Poly.AI,entertainment,21630002.0,365433.0,5239838313764237888,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,app.polybuzz.ai,RESELLER,2025-01-28 00:06:23.263925,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster
Android,ai.socialapps.speakmaster,PolyBuzz:formerly Poly.AI,entertainment,21630002.0,365433.0,5239838313764237888,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,app.polybuzz.ai,RESELLER,2025-01-28 00:06:23.263925,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster
Android,ai.transcribe.voice.to.text.notes.meeting.assistant,AI Transcribe Speech to Text,productivity,64285.0,652.0,6873380610601889920,"Appgeneration - Radio, Podcasts, Games",appgeneration.com,RESELLER,2025-01-24 08:45:14.613758,https://play.google.com/store/apps/details?id=ai.transcribe.voice.to.text.notes.meeting.assistant
Android,air.com.bitrhymes.bingo,Bingo Bash: Live Bingo Games,game_board,32162601.0,723127.0,9028773071151690823,Scopely,scopely.com,RESELLER,2025-01-24 02:27:49.694972,https://play.google.com/store/apps/details?id=air.com.bitrhymes.bingo
Android,air.com.ievogames.superbingo,Super Bingo HD - Bingo Games,game_board,2645859.0,96045.0,7379107570821712145,Playcus Limited,playcus.com,RESELLER,2025-01-23 17:00:40.547379,https://play.google.com/store/apps/details?id=air.com.ievogames.superbingo
Android,air.com.jogatina.domino.android,Dominos Online Jogatina: Game,game_board,44027979.0,387653.0,6748044026530676626,Jogatina.com,jogatina.com,RESELLER,2025-01-24 07:25:37.136591,https://play.google.com/store/apps/details?id=air.com.jogatina.domino.android
Android,air.com.jogatina.domino.android,Dominos Online Jogatina: Game,game_board,44027979.0,387653.0,6748044026530676626,Jogatina.com,jogatina.com,RESELLER,2025-01-24 07:25:37.136591,https://play.google.com/store/apps/details?id=air.com.jogatina.domino.android
Android,air.com.playcus.bingocountryboys,Bingo Country Boys: Tournament,game_board,286119.0,5890.0,7379107570821712145,Playcus Limited,playcus.com,RESELLER,2025-01-23 17:00:40.547379,https://play.google.com/store/apps/details?id=air.com.playcus.bingocountryboys
Android,air.com.playcus.bingocountryways,Bingo Country Ways: Live Bingo,game_board,368076.0,10824.0,7379107570821712145,Playcus Limited,playcus.com,RESELLER,2025-01-23 17:00:40.547379,https://play.google.com/store/apps/details?id=air.com.playcus.bingocountryways
Android,air.com.playcus.bingokingdom,Bingo Kingdom: Bingo Online,game_board,422617.0,8091.0,7379107570821712145,Playcus Limited,playcus.com,RESELLER,2025-01-23 17:00:40.547379,https://play.google.com/store/apps/details?id=air.com.playcus.bingokingdom
